Entr,Row,Col,05-Aug,04-Sep,Cruza,Historial,Peso,Humedad,Percent1,Percent2,KgHa,t
913,19,31,,,BAJ #1/FRNCLN,CMSS07B00215S-099M-099NJ-099NJ-10WGY-0B,924,154,85,56,3014,
914,19,32,,,WEAVER/TSC//WEAVER/3/WEAVER/4/2*SERI.1B*2/3/KAUZ*2/BOW//KAUZ/5/WHEAR/VIVITSI//WHEAR,CMSS07B00249S-099M-099NJ-099NJ-3WGY-0B,805,150,74,49,2626,
915,19,33,,,DANPHE #1/3/HUW234+LR34/PRINIA//PFAU/WEAVER,CMSS07B00326S-099M-099Y-099M-12WGY-0B,878,149,81,53,2864,
916,19,34,,1,PBW65/2*PASTOR/3/KIRITATI//ATTILA*2/PASTOR/4/DANPHE #1,CMSS07B00512T-099TOPY-099M-099Y-099M-9WGY-0B,1042,153,96,63,3399,
917,19,35,,0,0,0,0,0,0,0,0,
918,19,36,,0,0,0,0,0,0,0,0,
919,19,37,,0,0,0,0,0,0,0,0,
920,19,38,,0,0,0,0,0,0,0,0,
921,19,39,,0,0,0,0,0,0,0,0,
922,19,40,,0,0,0,0,0,0,0,0,
923,19,41,,0,0,0,0,0,0,0,0,
924,19,42,,0,0,0,0,0,0,0,0,
925,19,43,,0,0,0,0,0,0,0,0,
926,19,44,,0,0,0,0,0,0,0,0,
927,19,45,,0,0,0,0,0,0,0,0,
928,19,46,,0,0,0,0,0,0,0,0,
929,19,47,,0,0,0,0,0,0,0,0,
930,19,48,,0,0,0,0,0,0,0,0,
931,19,49,,0,0,0,0,0,0,0,0,
